BlockId,Label
blk_1000000118,Normal
blk_1000000119,Normal
blk_1000000120,Normal
blk_1000000121,Normal
blk_1000000122,Anomaly
blk_1000000123,Normal
blk_1000000124,Normal
blk_1000000125,Normal
blk_1000000126,Normal
blk_1000000127,Anomaly
blk_1000000128,Normal
blk_1000000129,Normal
blk_1000000130,Normal
blk_1000000131,Normal
blk_1000000132,Normal
blk_1000000133,Anomaly
blk_1000000134,Normal
blk_1000000135,Normal
blk_1000000136,Normal
blk_1000000137,Normal
blk_1000000138,Anomaly
blk_1000000139,Normal
blk_1000000140,Anomaly
blk_1000000141,Normal
blk_1000000142,Normal
blk_1000000143,Normal
blk_1000000144,Normal
blk_1000000145,Normal
blk_1000000146,Normal
blk_1000000147,Normal
blk_1000000148,Normal
blk_1000000149,Normal
blk_1000000150,Normal
blk_1000000151,Normal
blk_1000000152,Anomaly
blk_1000000153,Anomaly
blk_1000000154,Normal
blk_1000000155,Normal
blk_1000000156,Normal
blk_1000000157,Normal
blk_1000000158,Anomaly
blk_1000000159,Normal
blk_1000000160,Normal
blk_1000000161,Normal
blk_1000000162,Anomaly
blk_1000000163,Anomaly
blk_1000000164,Normal
blk_1000000165,Normal
blk_1000000166,Normal
blk_1000000167,Normal
blk_1000000168,Normal
blk_1000000169,Normal
blk_1000000170,Normal
blk_1000000171,Anomaly
blk_1000000172,Normal
blk_1000000173,Normal
blk_1000000174,Anomaly
blk_1000000175,Normal
blk_1000000176,Anomaly
blk_1000000177,Anomaly
blk_1000000178,Normal
blk_1000000179,Normal
blk_1000000180,Anomaly
blk_1000000181,Normal
blk_1000000182,Normal
blk_1000000183,Normal
blk_1000000184,Normal
blk_1000000185,Normal
blk_1000000186,Normal
blk_1000000187,Normal
blk_1000000188,Normal
blk_1000000189,Normal
blk_1000000190,Normal
blk_1000000191,Normal
blk_1000000192,Normal
blk_1000000193,Anomaly
blk_1000000194,Normal
blk_1000000195,Anomaly
blk_1000000196,Normal
blk_1000000197,Normal
blk_1000000198,Normal
blk_1000000199,Normal
blk_1000000200,Anomaly
blk_1000000201,Anomaly
blk_1000000202,Normal
blk_1000000203,Anomaly
blk_1000000204,Normal
blk_1000000205,Normal
blk_1000000206,Normal
blk_1000000207,Anomaly
blk_1000000208,Normal
blk_1000000209,Normal
blk_1000000210,Normal
blk_1000000211,Anomaly
blk_1000000212,Normal
blk_1000000213,Normal
blk_1000000214,Normal
blk_1000000215,Anomaly
blk_1000000216,Normal
blk_1000000217,Normal
blk_1000000218,Normal
blk_1000000219,Normal
blk_1000000220,Normal
blk_1000000221,Normal
blk_1000000222,Normal
blk_1000000223,Anomaly
blk_1000000224,Normal
blk_1000000225,Normal
blk_1000000226,Normal
blk_1000000227,Anomaly
blk_1000000228,Normal
blk_1000000229,Normal
blk_1000000230,Normal
blk_1000000231,Normal
blk_1000000232,Normal
blk_1000000233,Anomaly
blk_1000000234,Normal
blk_1000000235,Normal
blk_1000000236,Normal
blk_1000000237,Normal
blk_1000000238,Anomaly
blk_1000000239,Anomaly
blk_1000000240,Normal
blk_1000000241,Normal
blk_1000000242,Normal
blk_1000000243,Normal
blk_1000000244,Anomaly
blk_1000000245,Normal
blk_1000000246,Anomaly
blk_1000000247,Anomaly
blk_1000000248,Normal
blk_1000000249,Normal
blk_1000000250,Normal
blk_1000000251,Anomaly
blk_1000000252,Anomaly
blk_1000000253,Normal
blk_1000000254,Normal
blk_1000000255,Normal
blk_1000000256,Anomaly
blk_1000000257,Normal
blk_1000000258,Normal
blk_1000000259,Normal
blk_1000000260,Normal
blk_1000000261,Normal
blk_1000000262,Normal
blk_1000000263,Anomaly
blk_1000000264,Normal
blk_1000000265,Normal
blk_1000000266,Normal
blk_1000000267,Anomaly
blk_1000000268,Anomaly
blk_1000000269,Normal
blk_1000000270,Normal
blk_1000000271,Normal
blk_1000000272,Normal
blk_1000000273,Normal
blk_1000000274,Normal
blk_1000000275,Normal
blk_1000000276,Normal
blk_1000000277,Normal
blk_1000000278,Normal
blk_1000000279,Normal
blk_1000000280,Normal
blk_1000000281,Normal
blk_1000000282,Normal
blk_1000000283,Normal
blk_1000000284,Normal
blk_1000000285,Normal
blk_1000000286,Normal
blk_1000000287,Normal
blk_1000000288,Normal
blk_1000000289,Normal
blk_1000000290,Normal
blk_1000000291,Normal
blk_1000000292,Normal
blk_1000000293,Normal
blk_1000000294,Normal
blk_1000000295,Normal
blk_1000000296,Normal
blk_1000000297,Normal
blk_1000000298,Anomaly
blk_1000000299,Anomaly
blk_1000000300,Normal
blk_1000000301,Normal
blk_1000000302,Normal
blk_1000000303,Normal
blk_1000000304,Normal
blk_1000000305,Normal
blk_1000000306,Normal
blk_1000000307,Normal
blk_1000000308,Normal
blk_1000000309,Anomaly
blk_1000000310,Normal
blk_1000000311,Normal
blk_1000000312,Normal
blk_1000000313,Anomaly
blk_1000000314,Anomaly
blk_1000000315,Normal
blk_1000000316,Normal
blk_1000000317,Normal
blk_1000000318,Normal
blk_1000000319,Normal
blk_1000000320,Normal
blk_1000000321,Normal
blk_1000000322,Normal
blk_1000000323,Normal
blk_1000000324,Normal
blk_1000000325,Normal
blk_1000000326,Anomaly
blk_1000000327,Normal
blk_1000000328,Normal
blk_1000000329,Normal
blk_1000000330,Anomaly
blk_1000000331,Normal
blk_1000000332,Anomaly
blk_1000000333,Anomaly
blk_1000000334,Normal
blk_1000000335,Normal
blk_1000000336,Anomaly
blk_1000000337,Anomaly
blk_1000000338,Normal
blk_1000000339,Normal
blk_1000000340,Normal
blk_1000000341,Normal
blk_1000000342,Normal
blk_1000000343,Normal
blk_1000000344,Normal
blk_1000000345,Normal
blk_1000000346,Anomaly
blk_1000000347,Anomaly
blk_1000000348,Normal
blk_1000000349,Normal
blk_1000000350,Normal
blk_1000000351,Normal
blk_1000000352,Normal
blk_1000000353,Normal
blk_1000000354,Normal
blk_1000000355,Normal
blk_1000000356,Normal
blk_1000000357,Anomaly
blk_1000000358,Normal
blk_1000000359,Normal
blk_1000000360,Normal
blk_1000000361,Normal
blk_1000000362,Normal
blk_1000000363,Normal
blk_1000000364,Normal
blk_1000000365,Normal
blk_1000000366,Normal
blk_1000000367,Anomaly
blk_1000000368,Normal
blk_1000000369,Normal
blk_1000000370,Normal
blk_1000000371,Normal
blk_1000000372,Normal
blk_1000000373,Normal
blk_1000000374,Normal
blk_1000000375,Normal
blk_1000000376,Normal
blk_1000000377,Normal
blk_1000000378,Normal
blk_1000000379,Normal
blk_1000000380,Normal
blk_1000000381,Normal
blk_1000000382,Normal
blk_1000000383,Normal
blk_1000000384,Normal
blk_1000000385,Normal
blk_1000000386,Normal
blk_1000000387,Normal
blk_1000000388,Normal
blk_1000000389,Normal
blk_1000000390,Normal
blk_1000000391,Normal
blk_1000000392,Normal
blk_1000000393,Normal
blk_1000000394,Normal
blk_1000000395,Normal
blk_1000000396,Anomaly
blk_1000000397,Normal
blk_1000000398,Normal
blk_1000000399,Normal
blk_1000000400,Normal
blk_1000000401,Normal
blk_1000000402,Anomaly
blk_1000000403,Anomaly
blk_1000000404,Anomaly
blk_1000000405,Anomaly
blk_1000000406,Normal
blk_1000000407,Normal
blk_1000000408,Normal
blk_1000000409,Normal
blk_1000000410,Normal
blk_1000000411,Normal
blk_1000000412,Normal
blk_1000000413,Normal
blk_1000000414,Normal
blk_1000000415,Normal
blk_1000000416,Normal
blk_1000000417,Normal
blk_1000000418,Normal
blk_1000000419,Normal
blk_1000000420,Anomaly
blk_1000000421,Normal
blk_1000000422,Normal
blk_1000000423,Normal
blk_1000000424,Normal
blk_1000000425,Normal
blk_1000000426,Normal
blk_1000000427,Normal
blk_1000000428,Normal
blk_1000000429,Normal
blk_1000000430,Normal
blk_1000000431,Normal
blk_1000000432,Normal
blk_1000000433,Normal
blk_1000000434,Normal
blk_1000000435,Normal
blk_1000000436,Normal
blk_1000000437,Normal
blk_1000000438,Normal
blk_1000000439,Normal
blk_1000000440,Anomaly
blk_1000000441,Normal
blk_1000000442,Normal
blk_1000000443,Normal
blk_1000000444,Normal
blk_1000000445,Normal
blk_1000000446,Anomaly
blk_1000000447,Normal
blk_1000000448,Normal
blk_1000000449,Anomaly
blk_1000000450,Normal
blk_1000000451,Normal
blk_1000000452,Normal
blk_1000000453,Normal
blk_1000000454,Normal
blk_1000000455,Normal
blk_1000000456,Normal
blk_1000000457,Normal
blk_1000000458,Anomaly
blk_1000000459,Normal
blk_1000000460,Normal
blk_1000000461,Anomaly
blk_1000000462,Normal
blk_1000000463,Normal
blk_1000000464,Normal
blk_1000000465,Normal
blk_1000000466,Normal
blk_1000000467,Normal
blk_1000000468,Normal
blk_1000000469,Normal
blk_1000000470,Anomaly
blk_1000000471,Normal
blk_1000000472,Normal
blk_1000000473,Anomaly
blk_1000000474,Anomaly
blk_1000000475,Normal
blk_1000000476,Normal
blk_1000000477,Normal
blk_1000000478,Normal
blk_1000000479,Normal
blk_1000000480,Normal
blk_1000000481,Anomaly
blk_1000000482,Anomaly
blk_1000000483,Normal
blk_1000000484,Normal
blk_1000000485,Normal
blk_1000000486,Normal
blk_1000000487,Normal
blk_1000000488,Normal
blk_1000000489,Normal
blk_1000000490,Normal
blk_1000000491,Normal
blk_1000000492,Normal
blk_1000000493,Normal
blk_1000000494,Normal
blk_1000000495,Normal
blk_1000000496,Normal
blk_1000000497,Normal
blk_1000000498,Normal
blk_1000000499,Anomaly
blk_1000000500,Anomaly
blk_1000000501,Normal
blk_1000000502,Anomaly
blk_1000000503,Normal
blk_1000000504,Normal
blk_1000000505,Normal
blk_1000000506,Normal
blk_1000000507,Normal
blk_1000000508,Normal
blk_1000000509,Normal
blk_1000000510,Anomaly
blk_1000000511,Normal
blk_1000000512,Anomaly
blk_1000000513,Normal
blk_1000000514,Normal
blk_1000000515,Normal
blk_1000000516,Normal
blk_1000000517,Normal
blk_1000000518,Normal
blk_1000000519,Normal
blk_1000000520,Normal
blk_1000000521,Anomaly
blk_1000000522,Normal
blk_1000000523,Normal
blk_1000000524,Normal
blk_1000000525,Normal
blk_1000000526,Normal
blk_1000000527,Normal
blk_1000000528,Normal
blk_1000000529,Anomaly
blk_1000000530,Normal
blk_1000000531,Normal
blk_1000000532,Normal
blk_1000000533,Normal
blk_1000000534,Normal
blk_1000000535,Normal
blk_1000000536,Normal
blk_1000000537,Normal
blk_1000000538,Normal
blk_1000000539,Normal
blk_1000000540,Normal
blk_1000000541,Normal
blk_1000000542,Normal
blk_1000000543,Normal
blk_1000000544,Anomaly
blk_1000000545,Normal
blk_1000000546,Normal
blk_1000000547,Normal
blk_1000000548,Normal
blk_1000000549,Normal
blk_1000000550,Normal
blk_1000000551,Normal
blk_1000000552,Normal
blk_1000000553,Normal
blk_1000000554,Anomaly
blk_1000000555,Normal
blk_1000000556,Normal
blk_1000000557,Normal
blk_1000000558,Normal
blk_1000000559,Normal
blk_1000000560,Anomaly
blk_1000000561,Normal
blk_1000000562,Normal
blk_1000000563,Normal
blk_1000000564,Normal
blk_1000000565,Normal
blk_1000000566,Normal
blk_1000000567,Normal
blk_1000000568,Normal
blk_1000000569,Anomaly
blk_1000000570,Normal
blk_1000000571,Normal
blk_1000000572,Anomaly
blk_1000000573,Normal
blk_1000000574,Normal
blk_1000000575,Normal
blk_1000000576,Normal
blk_1000000577,Normal
blk_1000000578,Normal
blk_1000000579,Normal
blk_1000000580,Anomaly
blk_1000000581,Normal
blk_1000000582,Normal
blk_1000000583,Normal
blk_1000000584,Normal
blk_1000000585,Normal
blk_1000000586,Normal
blk_1000000587,Normal
blk_1000000588,Normal
blk_1000000589,Normal
blk_1000000590,Normal
blk_1000000591,Normal
blk_1000000592,Normal
blk_1000000593,Normal
blk_1000000594,Normal
blk_1000000595,Normal
blk_1000000596,Anomaly
blk_1000000597,Normal
blk_1000000598,Normal
blk_1000000599,Normal
blk_1000000600,Normal
blk_1000000601,Anomaly
blk_1000000602,Anomaly
blk_1000000603,Normal
blk_1000000604,Normal
blk_1000000605,Normal
blk_1000000606,Normal
blk_1000000607,Normal
blk_1000000608,Normal
blk_1000000609,Anomaly
blk_1000000610,Normal
blk_1000000611,Normal
blk_1000000612,Normal
blk_1000000613,Normal
blk_1000000614,Normal
blk_1000000615,Normal
blk_1000000616,Anomaly
blk_1000000617,Normal
blk_1000000618,Normal
blk_1000000619,Normal
blk_1000000620,Anomaly
blk_1000000621,Anomaly
blk_1000000622,Normal
blk_1000000623,Normal
blk_1000000624,Normal
blk_1000000625,Normal
blk_1000000626,Anomaly
blk_1000000627,Normal
blk_1000000628,Normal
blk_1000000629,Normal
blk_1000000630,Normal
blk_1000000631,Normal
blk_1000000632,Normal
blk_1000000633,Anomaly
blk_1000000634,Anomaly
blk_1000000635,Normal
blk_1000000636,Normal
blk_1000000637,Normal
blk_1000000638,Normal
blk_1000000639,Normal
blk_1000000640,Normal
blk_1000000641,Normal
blk_1000000642,Normal
blk_1000000643,Normal
blk_1000000644,Anomaly
blk_1000000645,Normal
blk_1000000646,Normal
blk_1000000647,Normal
blk_1000000648,Normal
blk_1000000649,Normal
blk_1000000650,Normal
blk_1000000651,Normal
blk_1000000652,Normal
blk_1000000653,Normal
blk_1000000654,Normal
blk_1000000655,Normal
blk_1000000656,Normal
blk_1000000657,Normal
blk_1000000658,Normal
blk_1000000659,Normal
blk_1000000660,Normal
blk_1000000661,Normal
blk_1000000662,Normal
blk_1000000663,Normal
blk_1000000664,Normal
blk_1000000665,Anomaly
blk_1000000666,Normal
blk_1000000667,Normal
blk_1000000668,Anomaly
blk_1000000669,Normal
blk_1000000670,Normal
blk_1000000671,Normal
blk_1000000672,Normal
blk_1000000673,Normal
blk_1000000674,Normal
blk_1000000675,Anomaly
blk_1000000676,Normal
blk_1000000677,Normal
blk_1000000678,Anomaly
blk_1000000679,Normal
blk_1000000680,Normal
blk_1000000681,Anomaly
blk_1000000682,Normal
blk_1000000683,Normal
blk_1000000684,Normal
blk_1000000685,Anomaly
blk_1000000686,Normal
blk_1000000687,Normal
blk_1000000688,Normal
blk_1000000689,Normal
blk_1000000690,Normal
blk_1000000691,Normal
blk_1000000692,Normal
blk_1000000693,Normal
blk_1000000694,Normal
blk_1000000695,Normal
blk_1000000696,Normal
blk_1000000697,Normal
blk_1000000698,Normal
blk_1000000699,Normal
blk_1000000700,Normal
blk_1000000701,Normal
blk_1000000702,Normal
blk_1000000703,Normal
blk_1000000704,Normal
blk_1000000705,Normal
blk_1000000706,Normal
blk_1000000707,Normal
blk_1000000708,Normal
blk_1000000709,Anomaly
blk_1000000710,Normal
blk_1000000711,Normal
blk_1000000712,Normal
blk_1000000713,Normal
blk_1000000714,Normal
blk_1000000715,Normal
blk_1000000716,Normal
blk_1000000717,Normal
blk_1000000718,Anomaly
blk_1000000719,Normal
blk_1000000720,Anomaly
blk_1000000721,Normal
blk_1000000722,Normal
blk_1000000723,Normal
blk_1000000724,Normal
blk_1000000725,Normal
blk_1000000726,Normal
blk_1000000727,Normal
blk_1000000728,Normal
blk_1000000729,Normal
blk_1000000730,Normal
blk_1000000731,Normal
blk_1000000732,Normal
blk_1000000733,Normal
blk_1000000734,Anomaly
blk_1000000735,Normal
blk_1000000736,Normal
blk_1000000737,Normal
blk_1000000738,Normal
blk_1000000739,Normal
blk_1000000740,Anomaly
blk_1000000741,Normal
blk_1000000742,Normal
blk_1000000743,Normal
blk_1000000744,Normal
blk_1000000745,Normal
blk_1000000746,Normal
blk_1000000747,Normal
blk_1000000748,Normal
blk_1000000749,Normal
blk_1000000750,Normal
blk_1000000751,Normal
blk_1000000752,Normal
blk_1000000753,Normal
blk_1000000754,Normal
blk_1000000755,Normal
blk_1000000756,Normal
blk_1000000757,Anomaly
blk_1000000758,Anomaly
blk_1000000759,Normal
blk_1000000760,Normal
blk_1000000761,Normal
blk_1000000762,Normal
blk_1000000763,Normal
blk_1000000764,Anomaly
blk_1000000765,Anomaly
blk_1000000766,Normal
blk_1000000767,Normal
blk_1000000768,Normal
blk_1000000769,Normal
blk_1000000770,Normal
blk_1000000771,Anomaly
blk_1000000772,Normal
blk_1000000773,Normal
blk_1000000774,Normal
blk_1000000775,Normal
blk_1000000776,Normal
blk_1000000777,Normal
blk_1000000778,Normal
blk_1000000779,Normal
blk_1000000780,Normal
blk_1000000781,Anomaly
blk_1000000782,Normal
blk_1000000783,Normal
blk_1000000784,Normal
blk_1000000785,Normal
blk_1000000786,Normal
blk_1000000787,Normal
blk_1000000788,Normal
blk_1000000789,Normal
blk_1000000790,Normal
blk_1000000791,Normal
blk_1000000792,Normal
blk_1000000793,Normal
blk_1000000794,Normal
blk_1000000795,Normal
blk_1000000796,Normal
blk_1000000797,Normal
blk_1000000798,Normal
blk_1000000799,Anomaly
blk_1000000800,Anomaly
blk_1000000801,Normal
blk_1000000802,Normal
blk_1000000803,Normal
blk_1000000804,Normal
blk_1000000805,Anomaly
blk_1000000806,Anomaly
blk_1000000807,Normal
blk_1000000808,Normal
blk_1000000809,Normal
blk_1000000810,Normal
blk_1000000811,Normal
blk_1000000812,Normal
blk_1000000813,Anomaly
blk_1000000814,Anomaly
blk_1000000815,Normal
blk_1000000816,Normal
blk_1000000817,Anomaly
blk_1000000818,Normal
blk_1000000819,Normal
blk_1000000820,Normal
blk_1000000821,Normal
blk_1000000822,Normal
blk_1000000823,Normal
blk_1000000824,Normal
blk_1000000825,Normal
blk_1000000826,Normal
blk_1000000827,Normal
blk_1000000828,Normal
blk_1000000829,Normal
blk_1000000830,Normal
blk_1000000831,Normal
blk_1000000832,Normal
blk_1000000833,Normal
blk_1000000834,Normal
blk_1000000835,Normal
blk_1000000836,Normal
blk_1000000837,Normal
blk_1000000838,Normal
blk_1000000839,Normal
blk_1000000840,Anomaly
blk_1000000841,Anomaly
blk_1000000842,Normal
blk_1000000843,Normal
blk_1000000844,Normal
blk_1000000845,Normal
blk_1000000846,Normal
blk_1000000847,Normal
blk_1000000848,Anomaly
blk_1000000849,Normal
blk_1000000850,Normal
blk_1000000851,Normal
blk_1000000852,Anomaly
blk_1000000853,Normal
blk_1000000854,Normal
blk_1000000855,Normal
blk_1000000856,Anomaly
blk_1000000857,Normal
blk_1000000858,Normal
blk_1000000859,Normal
blk_1000000860,Anomaly
blk_1000000861,Normal
blk_1000000862,Normal
blk_1000000863,Normal
blk_1000000864,Normal
blk_1000000865,Normal
blk_1000000866,Normal
blk_1000000867,Normal
blk_1000000868,Normal
blk_1000000869,Anomaly
blk_1000000870,Normal
blk_1000000871,Anomaly
blk_1000000872,Normal
blk_1000000873,Normal
blk_1000000874,Normal
blk_1000000875,Normal
blk_1000000876,Normal
blk_1000000877,Normal
blk_1000000878,Normal
blk_1000000879,Normal
blk_1000000880,Normal
blk_1000000881,Normal
blk_1000000882,Normal
blk_1000000883,Normal
blk_1000000884,Anomaly
blk_1000000885,Normal
blk_1000000886,Anomaly
blk_1000000887,Normal
blk_1000000888,Normal
blk_1000000889,Normal
blk_1000000890,Normal
blk_1000000891,Normal
blk_1000000892,Normal
blk_1000000893,Anomaly
blk_1000000894,Anomaly
blk_1000000895,Normal
blk_1000000896,Normal
blk_1000000897,Anomaly
blk_1000000898,Normal
blk_1000000899,Normal
blk_1000000900,Normal
blk_1000000901,Normal
blk_1000000902,Anomaly
blk_1000000903,Normal
blk_1000000904,Normal
blk_1000000905,Normal
blk_1000000906,Normal
blk_1000000907,Normal
blk_1000000908,Normal
blk_1000000909,Anomaly
blk_1000000910,Normal
blk_1000000911,Normal
blk_1000000912,Normal
blk_1000000913,Normal
blk_1000000914,Anomaly
blk_1000000915,Normal
blk_1000000916,Normal
blk_1000000917,Normal
blk_1000000918,Normal
blk_1000000919,Normal
blk_1000000920,Normal
blk_1000000921,Normal
blk_1000000922,Normal
blk_1000000923,Normal
blk_1000000924,Normal
blk_1000000925,Anomaly
blk_1000000926,Normal
blk_1000000927,Normal
blk_1000000928,Normal
blk_1000000929,Normal
blk_1000000930,Normal
blk_1000000931,Normal
blk_1000000932,Normal
blk_1000000933,Normal
blk_1000000934,Normal
blk_1000000935,Normal
blk_1000000936,Normal
blk_1000000937,Normal
blk_1000000938,Normal
blk_1000000939,Normal
blk_1000000940,Normal
blk_1000000941,Normal
blk_1000000942,Normal
blk_1000000943,Normal
blk_1000000944,Anomaly
blk_1000000945,Normal
blk_1000000946,Anomaly
blk_1000000947,Normal
blk_1000000948,Normal
blk_1000000949,Anomaly
blk_1000000950,Normal
blk_1000000951,Normal
blk_1000000952,Normal
blk_1000000953,Normal
blk_1000000954,Normal
blk_1000000955,Normal
blk_1000000956,Normal
blk_1000000957,Normal
blk_1000000958,Anomaly
blk_1000000959,Normal
blk_1000000960,Normal
blk_1000000961,Normal
blk_1000000962,Normal
blk_1000000963,Normal
blk_1000000964,Anomaly
blk_1000000965,Normal
blk_1000000966,Anomaly
blk_1000000967,Normal
blk_1000000968,Normal
blk_1000000969,Normal
blk_1000000970,Normal
blk_1000000971,Normal
blk_1000000972,Normal
blk_1000000973,Normal
blk_1000000974,Normal
blk_1000000975,Normal
blk_1000000976,Anomaly
blk_1000000977,Normal
blk_1000000978,Normal
blk_1000000979,Normal
blk_1000000980,Normal
blk_1000000981,Normal
blk_1000000982,Normal
blk_1000000983,Normal
blk_1000000984,Normal
blk_1000000985,Normal
blk_1000000986,Normal
blk_1000000987,Normal
blk_1000000988,Normal
blk_1000000989,Normal
blk_1000000990,Normal
blk_1000000991,Normal
blk_1000000992,Anomaly
blk_1000000993,Anomaly
blk_1000000994,Normal
blk_1000000995,Normal
blk_1000000996,Normal
blk_1000000997,Normal
blk_1000000998,Normal
blk_1000000999,Normal
blk_1000001000,Normal
blk_1000001001,Normal
blk_1000001002,Normal
blk_1000001003,Normal
blk_1000001004,Normal
blk_1000001005,Normal
blk_1000001006,Anomaly
blk_1000001007,Normal
blk_1000001008,Normal
blk_1000001009,Anomaly
blk_1000001010,Normal
blk_1000001011,Normal
blk_1000001012,Normal
blk_1000001013,Anomaly
blk_1000001014,Normal
blk_1000001015,Normal
blk_1000001016,Normal
blk_1000001017,Normal
blk_1000001018,Anomaly
blk_1000001019,Normal
blk_1000001020,Normal
blk_1000001021,Anomaly
blk_1000001022,Normal
blk_1000001023,Anomaly
blk_1000001024,Normal
blk_1000001025,Normal
blk_1000001026,Normal
blk_1000001027,Normal
blk_1000001028,Normal
blk_1000001029,Normal
blk_1000001030,Normal
blk_1000001031,Normal
blk_1000001032,Normal
blk_1000001033,Normal
blk_1000001034,Normal
blk_1000001035,Normal
blk_1000001036,Normal
blk_1000001037,Normal
blk_1000001038,Normal
blk_1000001039,Normal
blk_1000001040,Normal
blk_1000001041,Normal
blk_1000001042,Normal
blk_1000001043,Normal
blk_1000001044,Normal
blk_1000001045,Normal
blk_1000001046,Normal
blk_1000001047,Normal
blk_1000001048,Anomaly
blk_1000001049,Normal
blk_1000001050,Normal
blk_1000001051,Normal
blk_1000001052,Anomaly
blk_1000001053,Normal
blk_1000001054,Normal
blk_1000001055,Anomaly
blk_1000001056,Normal
blk_1000001057,Normal
blk_1000001058,Normal
blk_1000001059,Normal
blk_1000001060,Normal
blk_1000001061,Normal
blk_1000001062,Normal
blk_1000001063,Normal
blk_1000001064,Anomaly
blk_1000001065,Normal
blk_1000001066,Normal
blk_1000001067,Normal
blk_1000001068,Normal
blk_1000001069,Normal
blk_1000001070,Normal
blk_1000001071,Normal
blk_1000001072,Normal
blk_1000001073,Normal
blk_1000001074,Normal
blk_1000001075,Normal
blk_1000001076,Normal
blk_1000001077,Anomaly
blk_1000001078,Normal
blk_1000001079,Normal
blk_1000001080,Normal
blk_1000001081,Normal
blk_1000001082,Normal
blk_1000001083,Normal
blk_1000001084,Normal
blk_1000001085,Normal
blk_1000001086,Normal
blk_1000001087,Normal
blk_1000001088,Anomaly
blk_1000001089,Normal
blk_1000001090,Normal
blk_1000001091,Normal
blk_1000001092,Anomaly
blk_1000001093,Normal
blk_1000001094,Anomaly
blk_1000001095,Normal
blk_1000001096,Normal
blk_1000001097,Normal
blk_1000001098,Normal
blk_1000001099,Normal
blk_1000001100,Normal
blk_1000001101,Normal
blk_1000001102,Anomaly
blk_1000001103,Normal
blk_1000001104,Normal
blk_1000001105,Normal
blk_1000001106,Anomaly
blk_1000001107,Normal
blk_1000001108,Anomaly
blk_1000001109,Normal
blk_1000001110,Normal
blk_1000001111,Normal
blk_1000001112,Normal
blk_1000001113,Anomaly
blk_1000001114,Normal
blk_1000001115,Normal
blk_1000001116,Normal
blk_1000001117,Normal
blk_1000001118,Normal
blk_1000001119,Normal
blk_1000001120,Normal
blk_1000001121,Anomaly
blk_1000001122,Normal
blk_1000001123,Anomaly
blk_1000001124,Anomaly
blk_1000001125,Normal
blk_1000001126,Anomaly
blk_1000001127,Normal
blk_1000001128,Anomaly
blk_1000001129,Normal
blk_1000001130,Normal
blk_1000001131,Normal
blk_1000001132,Normal
blk_1000001133,Normal
blk_1000001134,Normal
